country_code,state_code,city
USA,NY,New York
USA,IL,Champaign
USA,CA,Los Angeles
USA,NJ,Iselin
USA,MD,Woodbine
USA,OR,Lake Oswego
USA,CA,San Francisco
USA,WA,Bellevue
USA,WI,Madison
USA,OH,Cleveland
USA,CA,Oakland
USA,MA,Lexington
USA,IL,Chicago
USA,RI,Providence
USA,CA,West Hollywood
USA,MA,Bedford
USA,CA,Santa Monica
USA,FL,Lake Mary
USA,WA,Kirkland
USA,CA,Santa Ana
USA,PA,Philadelphia
USA,WA,Seattle
USA,NH,Hampton Falls
USA,TX,Houston
USA,NY,Saratoga Springs
USA,CA,San Jose
USA,MD,Rockville
USA,NY,Clarence
USA,CA,Mountain View
CAN,ON,Toronto
USA,FL,Rockledge
USA,IL,Willowbrook
USA,MD,Cambridge
USA,NY,Rochester
USA,IN,Indianapolis
USA,CA,Stanford
USA,CO,Boulder
USA,CA,Palo Alto
USA,CA,Woodland Hills
USA,CA,San Pablo
USA,TX,Plano
USA,IA,Cedar Rapids
USA,VT,Williston
USA,CA,Elk Grove
USA,MD,Hanover
CAN,BC,Vancouver
USA,CA,Menlo Park
USA,NJ,Clifton
USA,CO,Denver
USA,PA,Pittsburgh
USA,GA,Atlanta
CAN,ON,Whitby
CAN,ON,Ottawa
USA,CA,Emeryville
USA,MI,Troy
USA,CA,Sunnyvale
USA,MA,Quincy
USA,MA,West Roxbury
USA,MI,Ann Arbor
USA,FL,Longwood
USA,OH,Cincinnati
USA,CA,San Diego
USA,MN,Minneapolis
USA,SC,Rock Hill
USA,CA,Redwood City
USA,FL,Lauderhill
USA,CT,New Haven
USA,AR,Fayetteville
USA,CA,Santa Clara
USA,VA,Fairfax
USA,MA,Cambridge
USA,TX,Austin
USA,OH,Columbus
USA,WA,Stevenson
USA,MD,Baltimore
USA,MA,Watertown
USA,GA,Douglasville
USA,SC,Conway
USA,VA,Herndon
USA,CA,San Mateo
USA,NC,Morrisville
USA,RI,Johnston
USA,CA,Roseville
USA,NC,Raleigh
USA,MD,Arnold
USA,VA,Virginia Beach
USA,SC,Easley
USA,FL,Fort Lauderdale
USA,TX,Pearland
USA,MA,Beverly
USA,OH,Akron
USA,WI,Milwaukee
USA,MD,Southern Md Facility
USA,MA,Boston
USA,VA,Sterling
USA,WA,Redmond
USA,NM,Albuquerque
USA,CA,San Ramon
USA,CO,Lakewood
USA,NJ,Berlin
USA,MA,Westborough
USA,NC,Wilmington
USA,FL,Hollywood
USA,IL,Aurora
USA,IL,Naperville
USA,WA,Vancouver
USA,FL,Miami
USA,MI,Bloomfield Hills
USA,IL,Des Plaines
CAN,ON,Mississauga
USA,TX,Richardson
USA,CA,Los Altos
USA,NJ,Princeton
USA,AZ,Tempe
USA,IL,Evanston
USA,MI,Kalamazoo
USA,CO,Wheat Ridge
USA,TX,Italy
USA,CO,Loveland
USA,PA,Paoli
USA,OR,Portland
USA,KS,Overland Park
USA,MN,Minnetonka
USA,CO,Littleton
USA,OH,Wooster
USA,TN,Knoxville
USA,TN,Nashville
USA,MA,Maynard
USA,AZ,Scottsdale
USA,CA,Newport Beach
CAN,QC,Montréal
USA,MA,Pembroke
USA,UT,Provo
USA,AZ,Tucson
USA,CA,Scotts Valley
USA,OK,Tulsa
USA,WA,Bellingham
USA,KY,Louisville
USA,CO,Colorado Springs
USA,FL,Tampa
USA,CA,Irvine
USA,OH,Dublin
USA,CO,Broomfield
USA,IL,Itasca
USA,CA,Truckee
USA,IL,Saybrook
USA,MA,Marlborough
USA,WA,Shoreline
USA,UT,Lindon
USA,TX,San Antonio
USA,PA,Wexford
USA,IL,Lake Zurich
USA,PA,Plymouth Meeting
USA,CA,Larkspur
USA,FL,Boca Raton
USA,KS,Olathe
USA,NY,Buffalo
USA,AR,Little Rock
USA,CO,Westminster
USA,MA,Concord
USA,NY,Huntington Station
USA,CA,El Segundo
USA,MD,Gaithersburg
USA,MD,Columbia
USA,MO,St Louis
USA,VA,Dulles
USA,CA,South San Francisco
USA,PA,Conshohocken
USA,NJ,Lakewood
USA,CA,Los Gatos
USA,NV,Las Vegas
USA,MA,Burlington
CAN,QC,Brossard
USA,MI,Grand Rapids
USA,NJ,Marlton
USA,OR,Beaverton
USA,CA,Fremont
USA,CA,Belmont
USA,MN,Plymouth
USA,MA,Waltham
USA,NJ,North Brunswick
USA,CA,Ceres
CAN,AB,Fort Mcmurray
USA,GA,Roswell
USA,MA,Newton
USA,MN,Bloomington
USA,FL,Clearwater
USA,TN,Memphis
USA,NY,Pearl River
USA,CA,Santa Barbara
USA,TX,Dallas
USA,CA,Torrance
USA,OR,Mcminnville
USA,TX,Allen
USA,CA,Altadena
USA,CT,East Hartford
USA,PA,Bellefonte
USA,CA,Carlsbad
USA,CA,Beverly Hills
USA,CA,Livermore
USA,MA,Westwood
USA,CA,Foster City
USA,CO,Lafayette
USA,CA,Laguna Hills
USA,HI,Honolulu
USA,FL,Palm Harbor
USA,CA,Pasadena
USA,KY,Crestwood
USA,NC,Charlotte
USA,IL,Lincolnwood
USA,VA,Chantilly
USA,NJ,Woodcliff Lake
USA,VA,Vienna
USA,IL,Palatine
USA,TX,Irving
USA,CA,Carpinteria
USA,NH,Concord
USA,NY,Ithaca
USA,IL,Rolling Meadows
USA,CA,Campbell
USA,CA,Glendale
USA,MO,Columbia
USA,GA,Peachtree City
USA,PA,Reading
USA,VA,Charlottesville
USA,CA,San Bruno
USA,CA,Yorba Linda
USA,NH,Lebanon
USA,MO,Kansas City
USA,CT,West Hartford
CAN,QC,Lévis
USA,AL,Montgomery
USA,WA,Issaquah
USA,FL,Miami Beach
USA,CA,Davis
USA,CA,Cupertino
USA,NJ,Newtonville
USA,VA,Reston
USA,CA,Lucerne Valley
USA,NY,Great Neck
USA,NH,Derry
USA,GA,Lilburn
USA,CA,Berkeley
USA,NC,Durham
USA,CO,Greeley
USA,CT,Westport
USA,IN,West Lafayette
USA,TN,Chattanooga
USA,CA,Hayward
USA,MN,Rockville
USA,MN,Eagan
USA,IL,Romeoville
USA,MA,Wilmington
USA,AZ,Chandler
USA,WA,Richland
USA,OR,Hillsboro
USA,CT,Stamford
USA,WA,Kennewick
USA,PA,Wayne
CAN,AB,Sherwood Park
USA,CA,Milpitas
USA,MA,Hingham
USA,VA,Alexandria
USA,NJ,Lawrenceville
USA,TX,Stafford
USA,NH,Rochester
USA,LA,Baton Rouge
USA,PA,Hazleton
USA,MA,Woburn
USA,CA,Moorpark
USA,MD,Edgewater
USA,CA,Santa Rosa
USA,CA,Sausalito
CAN,BC,Victoria
USA,IL,Oak Brook
USA,NY,Brooklyn
USA,NJ,Edgewater
USA,NJ,Bridgewater
USA,CO,Englewood
CAN,BC,Burnaby
USA,CA,Mission Viejo
USA,NJ,Bedminster
USA,NH,Amherst
CAN,ON,Waterloo
USA,NJ,South Plainfield
USA,CA,Venice
CAN,QC,Gatineau
USA,MA,Acton
USA,CT,East Granby
CAN,AB,Edmonton
USA,AZ,Phoenix
